Designator,Mid X,Mid Y,Rotation,Layer
C1,87.18681,-61.115037,90.0,top
C10,112.98681,-133.315037,180.0,top
C11,79.98681,-118.315037,180.0,top
C12,82.08681,-77.415037,90.0,top
C13,111.68681,-80.615037,90.0,top
C14,112.78681,-61.115037,90.0,top
C15,97.58681,-91.215037,270.0,top
C16,96.18681,-97.915037,90.0,top
C17,97.53681,-96.315037,180.0,top
C18,97.28681,-94.565037,180.0,top
C19,91.68681,-124.365037,270.0,top
C2,89.18681,-61.115037,90.0,top
C20,107.93681,-117.515037,270.0,top
C21,106.43681,-117.065037,270.0,top
C22,108.53681,-111.065037,0.0,top
C23,106.33681,-110.565037,90.0,top
C24,108.58681,-114.765037,0.0,top
C25,106.38681,-114.365037,90.0,top
C26,113.709395,-92.084032,90.0,top
C27,116.309395,-90.584032,180.0,top
C28,104.448911,-95.998983,0.0,top
C29,104.468911,-99.998983,0.0,top
C3,89.78681,-91.315037,180.0,top
C31,109.61181,-92.584032,0.0,top
C32,109.61181,-94.140037,0.0,top
C33,106.798911,-95.098983,180.0,top
C34,108.08681,-104.515037,270.0,top
C35,107.13681,-103.715037,270.0,top
C36,112.43681,-104.615037,270.0,top
C37,113.88681,-94.134032,180.0,top
C38,114.93681,-104.615037,270.0,top
C39,109.08681,-104.515037,270.0,top
C4,85.98681,-96.665037,270.0,top
C40,116.659395,-101.084032,270.0,top
C41,116.58681,-94.615037,90.0,top
C42,106.798911,-95.998983,180.0,top
C43,112.31181,-93.690037,270.0,top
C44,100.78681,-126.915037,90.0,top
C45,96.28681,-127.015037,90.0,top
C46,116.739395,-97.834032,90.0,top
C47,119.589395,-97.794032,90.0,top
C48,119.629395,-99.434032,270.0,top
C5,92.96181,-96.127537,270.0,top
C50,115.33681,-129.915037,0.0,top
C6,83.68681,-106.215037,0.0,top
C7,103.28681,-130.165037,90.0,top
C8,104.63681,-128.565037,180.0,top
C9,104.38681,-126.815037,180.0,top
D2,88.98681,-99.815037,90.0,top
D3,90.68681,-99.815037,90.0,top
F1,92.38681,-63.415037,180.0,top
J1,99.98681,-56.815037,180.0,top
J2,82.88681,-101.665037,180.0,top
L1,93.38681,-61.615037,270.0,top
L3,107.38681,-129.815037,90.0,top
L4,100.28681,-97.565037,90.0,top
L6,107.959395,-93.134032,270.0,top
L7,108.509395,-91.134032,180.0,top
L8,118.159395,-98.354032,0.0,top
LED1,112.98681,-134.915037,0.0,top
LED2,79.98681,-119.915037,0.0,top
LED3,80.38681,-77.415037,270.0,top
LED4,109.98681,-80.615037,270.0,top
LED5,111.08681,-61.115037,270.0,top
Q1,82.48681,-86.515037,0.0,top
Q2,114.38681,-126.515037,90.0,top
Q3,116.48681,-123.665037,90.0,top
R1,97.93681,-61.015037,180.0,top
R11,104.57681,-132.315037,180.0,top
R12,84.38681,-92.115037,180.0,top
R13,92.96181,-93.377537,0.0,top
R14,84.48681,-90.415037,180.0,top
R15,99.78681,-128.915037,180.0,top
R16,116.48681,-120.915037,180.0,top
R17,116.48681,-119.415037,0.0,top
R18,117.78681,-126.015037,90.0,top
R19,97.28681,-100.315037,180.0,top
R2,106.98681,-58.665037,0.0,top
R20,92.18681,-120.315037,270.0,top
R21,90.28681,-114.215037,0.0,top
R22,91.21181,-78.465037,0.0,top
R23,94.86181,-79.940037,180.0,top
R24,95.58681,-90.915037,0.0,top
R25,114.38681,-114.715037,270.0,top
R26,114.38681,-116.815037,270.0,top
R27,81.08681,-108.315037,90.0,top
R3,88.68681,-87.315037,180.0,top
R4,85.38681,-86.515037,90.0,top
R5,83.28681,-95.715037,180.0,top
R6,89.68681,-102.115037,180.0,top
R7,84.48681,-93.915037,180.0,top
R8,92.38681,-99.815037,90.0,top
SW1,85.33681,-86.465037,270.0,bottom
SW8,118.08681,-116.115037,0.0,top
U1,107.38681,-64.615037,270.0,top
U10,97.58681,-98.415037,0.0,top
U2,89.68681,-95.315037,0.0,top
U3,83.18681,-108.215037,270.0,top
U4,104.68681,-130.665037,0.0,top
U5,112.189395,-99.114032,0.0,top
U9,98.58681,-126.515037,0.0,top
XL1,105.198911,-97.998983,90.0,top
XL2,115.709395,-92.334032,0.0,top
